name,model_name,city,year,driving,feul,engine,kms,price
Kia Sportage,KIA AWD,Sialkot,2020,Automatic,Petrol,2000,4300,55.15
Kia Sportage,KIA FWD,Islamabad,2020,Automatic,Petrol,2000,11384,52.95
Kia Sportage,KIA AWD,Islamabad,2021,Automatic,Petrol,2000,3000,57.4
Kia Sportage,KIA AWD,Islamabad,2021,Automatic,Petrol,2000,25,57.5
Kia Sportage,KIA FWD,Islamabad,2021,Automatic,Petrol,2000,50,52.8
Kia Sportage,KIA FWD,Islamabad,2021,Automatic,Petrol,2000,33,52.6
Kia Sportage,KIA AWD,other,2021,Automatic,Petrol,2000,700,56.25
Kia Sportage,KIA AWD,Karachi,2020,Automatic,Petrol,2000,16000,56.5
Kia Sportage,KIA AWD,Lahore,2020,Automatic,Petrol,2000,39000,55.25
Kia Sportage,KIA FWD,Lahore ,2020,Automatic,Petrol,2000,2102,8.6
Kia Sportage,KIA AWD,Islamabad,2019,Automatic,Petrol,2000,34536,52.5
Kia Sportage,KIA FWD,Sialkot,2021,Automatic,Petrol,2000,5,52.84
Kia Sportage,KIA Alpha,Sialkot,2021,Automatic,Petrol,2000,4000,47.5
Kia Sportage,KIA FWD,Lahore,2020,Automatic,Petrol,2000,3700,51.5
Kia Sportage,KIA ,Lahore,2020,Automatic,Petrol,2000,3700,51.5
Kia Sportage,KIA 2.0,Mandi bahauddin,2021,Automatic,Petrol,2000,4220,56.5
Kia Sportage,KIA AWD,Islamabad,2020,Automatic,Petrol,2000,9500,54.32
Kia Sportage,KIA AWD,Lahore ,2021,Automatic,Petrol,2000,10,11.76
Kia Sportage,KIA AWD,Islamabad,2019,Automatic,Petrol,2000,29500,53.5
Kia Sportage,KIA AWD,Lahore,2021,Automatic,Petrol,2000,2400,57.5
Kia Sportage,KIA AWD,Karachi,2019,Automatic,Petrol,2000,35500,54.0
Kia Sportage,KIA FWD,Bahawalpur,2021,Automatic,Petrol,2000,780,52.3
Kia Sportage,KIA AWD,Abottabad,2020,Automatic,Petrol,2000,16000,56.9
Kia Sportage,KIA FWD,Karachi,2021,Automatic,Petrol,2000,1,52.0
